group,modality,feature,cohens_d,pvalue,neg_log_pval,n_driver,n_nondriver
myeloid,transcriptome,transcriptome_4,2.091866642880343,1.008106357874069e-6,5.996493646262405,17,17
myeloid,transcriptome,transcriptome_11,2.124556204767893,1.258270161165228e-6,5.900226102208264,17,17
myeloid,transcriptome,transcriptome_0,1.9828380325450214,3.258694557892108e-6,5.486956344670979,17,17
myeloid,transcriptome,transcriptome_2,1.9159498491104472,3.6123426280740347e-6,5.4422110638887595,17,17
myeloid,transcriptome,transcriptome_8,1.5877759653199963,0.00008039662586435398,4.094762177610275,17,17
myeloid,transcriptome,transcriptome_7,1.538742803879235,0.00009146211026497246,4.038758782554505,17,17
myeloid,transcriptome,transcriptome_6,1.3708998716249283,0.0003580330051004652,3.4460769362826533,17,17
myeloid,transcriptome,transcriptome_5,1.3272034878326129,0.0005047480862018658,3.296925319048107,17,17
myeloid,transcriptome,transcriptome_3,1.2969685244845857,0.0006448237498516997,3.190558975173827,17,17
myeloid,transcriptome,transcriptome_9,1.2180028683990198,0.0012308521952322188,2.9097940954431865,17,17
myeloid,transcriptome,transcriptome_10,1.0844846826716716,0.003426002965623371,2.465212265435509,17,17
myeloid,transcriptome,transcriptome_1,0.988234072496688,0.007118316021242366,2.1476227351808497,17,17
